Date0 ut0 Date1 ut1 DateMid utMid ctype x y z xo yo zo xi yi zi source
20110403 2.526 20110403 2.567 20110403 2.5465 i 2.0275 0.28595 0.53620005 2.0921 0.2877 0.4979 1.9629 0.2842 0.5745 w
20110403 4.035 20110403 4.236 20110403 4.1355 o -1.5339 -0.45885 -2.8227 -1.4622 -0.4849 -3.097 -1.6056 -0.4328 -2.5484 w
20110403 14.799 20110403 14.802 20110403 14.8005 i 1.3982501 0.2094 0.8426 1.4032 0.2095 0.8408 1.3933 0.2093 0.8444 w
20110403 16.027 20110403 16.074 20110403 16.050499 o -1.6542001 -0.3551 -2.3726 -1.6425 -0.3628 -2.4429 -1.6659 -0.3474 -2.3023 w
20110404 2.862 20110404 2.902 20110404 2.882 i 1.3708999 0.15985 0.85494995 1.4508 0.1585 0.8271 1.291 0.1612 0.8828 w
20110404 4.167 20110404 4.2 20110404 4.1835 o -1.63645 -0.31599998 -2.54845 -1.627 -0.3215 -2.5962 -1.6459 -0.3105 -2.5007 w
20110404 15.053 20110404 15.066 20110404 15.0595 i 0.92965 0.13075 0.9767 0.9581 0.1298 0.9714 0.9012 0.1317 0.982 w
20110404 16.251 20110404 16.254 20110404 16.252499 o -1.6517 -0.25634998 -2.53335 -1.6507 -0.257 -2.5386 -1.6527 -0.2557 -2.5281 w
20110406 3.225 20110406 3.278 20110406 3.2515001 i 1.0538 0.01905 0.95395005 1.1683 0.0028 0.9276 0.9393 0.0353 0.9803 w
20110406 4.486 20110406 4.507 20110406 4.4965 o -1.6633999 -0.094799995 -2.5976 -1.6578 -0.099 -2.6272 -1.669 -0.0906 -2.568 w
20110406 15.235 20110406 15.248 20110406 15.2415 i 1.39765 -0.078600004 0.8555 1.422 -0.0833 0.8467 1.3733 -0.0739 0.8643 w
20110406 16.563 20110406 16.582 20110406 16.5725 o -1.6663499 -0.04045 -2.6041 -1.6613 -0.0445 -2.6312 -1.6714 -0.0364 -2.577 w
20110407 3.327 20110407 3.37 20110407 3.3484998 i 1.2566 -0.09365 0.9017 1.3443 -0.1129 0.8744 1.1689 -0.0744 0.929 w
20110407 4.794 20110407 4.802 20110407 4.7980003 o -1.5766001 -0.05335 -3.01975 -1.5739 -0.0551 -3.0299 -1.5793 -0.0516 -3.0096 w
20110407 15.409 20110407 15.437 20110407 15.423 i 1.2483001 -0.13265 0.905 1.3042 -0.1468 0.8876 1.1924 -0.1185 0.9224 w
20110407 16.761 20110407 16.771 20110407 16.765999 o -1.64495 0.0469 -2.73415 -1.6423 0.0447 -2.7473 -1.6476 0.0491 -2.721 w
20110408 3.501 20110408 3.561 20110408 3.5310001 i 1.0955 -0.13045 0.94554996 1.2208 -0.1656 0.9135 0.9702 -0.0953 0.9776 w
20110408 4.8 20110408 4.834 20110408 4.8170004 o -1.65675 0.11055 -2.6687999 -1.648 0.1024 -2.7167 -1.6655 0.1187 -2.6209 w
20110408 15.596 20110408 15.618 20110408 15.607 i 1.0816 -0.16135 0.95155 1.1254 -0.1751 0.9404 1.0378 -0.1476 0.9627 w
20110408 16.74 20110408 16.749 20110408 16.7445 o -1.7127 0.23335 -2.2365499 -1.7114 0.2312 -2.2508 -1.714 0.2355 -2.2223 w
20110409 3.675 20110409 3.69 20110409 3.6825 i 1.06505 -0.1907 0.9554 1.0948 -0.2011 0.9479 1.0353 -0.1803 0.9629 w
20110409 4.864 20110409 4.956 20110409 4.91 o -1.6733999 0.2415 -2.51115 -1.6546 0.2186 -2.645 -1.6922 0.2644 -2.3773 w
20110409 15.746 20110409 15.778 20110409 15.762 i 1.02975 -0.21204999 0.96265 1.096 -0.2373 0.9466 0.9635 -0.1868 0.9787 w
20110409 16.926 20110409 17.046 20110409 16.986 o -1.665 0.29145 -2.5170999 -1.6412 0.2607 -2.6921 -1.6888 0.3222 -2.3421 w
20110410 3.896 20110410 3.971 20110410 3.9334998 i 0.59615 -0.0709 1.0218999 0.7669 -0.1379 1.0128 0.4254 -0.0039 1.031 w
20110410 5.001 20110410 5.023 20110410 5.012 o -1.67605 0.3671 -2.37955 -1.6727 0.3616 -2.4118 -1.6794 0.3726 -2.3473 w
20110410 15.896 20110410 15.929 20110410 15.9125 i 0.99714994 -0.265 0.96835 1.0643 -0.2953 0.9522 0.93 -0.2347 0.9845 w
20110410 17.048 20110410 17.065 20110410 17.0565 o -1.6740501 0.43245 -2.2908502 -1.6719 0.4281 -2.3173 -1.6762 0.4368 -2.2644 w
20110411 4.019 20110411 4.022 20110411 4.0205 i 0.8449 -0.22444999 1.00035 0.8507 -0.2272 0.9993 0.8391 -0.2217 1.0014 w
20110411 5.271 20110411 5.358 20110411 5.3145 o -1.5934 0.37975 -2.82445 -1.5726 0.3545 -2.9428 -1.6142 0.405 -2.7061 w
20110411 15.988 20110411 16.022 20110411 16.005 i 1.1786001 -0.42815 0.91094995 1.242 -0.4622 0.8892 1.1152 -0.3941 0.9327 w
20110411 17.384 20110411 17.387 20110411 17.3855 o -1.58565 0.42865002 -2.8179998 -1.585 0.4278 -2.8218 -1.5863 0.4295 -2.8142 w
20110412 4.083 20110412 4.13 20110412 4.1065 i 1.0604501 -0.40179998 0.94445 1.1476 -0.4513 0.9186 0.9733 -0.3523 0.9703 w
20110412 5.446 20110412 5.527 20110412 5.4865 o -1.56075 0.45735002 -2.89235 -1.5418 0.4324 -3.001 -1.5797 0.4823 -2.7837 w
20110412 16.102 20110412 16.111 20110412 16.106499 i 1.30465 -0.58924997 0.85284996 1.3194 -0.5985 0.8465 1.2899 -0.58 0.8592 w
