Date0 ut0 Date1 ut1 DateMid utMid ctype x y z xo yo zo xi yi zi source
20110403 6.332 20110403 6.648 20110403 6.49 o 0.98510003 -0.6503 -6.2762003 1.1595 -0.6481 -6.3772 0.8107 -0.6525 -6.1752 w
20110403 14.368 20110403 14.406 20110403 14.387 i 2.6747499 0.1974 0.079349995 2.7199 0.1957 0.0409 2.6296 0.1991 0.1178 w
20110403 17.485 20110403 17.751 20110403 17.618 o -0.109749995 -0.6351 -5.4227 0.0421 -0.6464 -5.582 -0.2616 -0.6238 -5.2634 w
20110404 2.616 20110404 2.663 20110404 2.6395001 i 2.2019 0.1315 0.4401 2.271 0.1279 0.3949 2.1328 0.1351 0.4853 w
20110404 5.46 20110404 5.59 20110404 5.525 o -0.3244 -0.6093 -5.2174 -0.2511 -0.6183 -5.3027 -0.3977 -0.6003 -5.1321 w
20110404 14.863 20110404 14.879 20110404 14.871 i 1.69305 0.09305 0.72845 1.7229 0.0911 0.7146 1.6632 0.095 0.7423 w
20110404 16.98 20110404 16.982 20110404 16.980999 o -1.0246 -0.4693 -4.2425003 -1.0239 -0.4695 -4.2438 -1.0253 -0.4691 -4.2412 w
20110406 2.994 20110406 3.045 20110406 3.0195 i 1.92985 -0.12185 0.61010003 2.0124 -0.1367 0.564 1.8473 -0.107 0.6562 w
20110406 4.985 20110406 5.115 20110406 5.05 o -1.22385 -0.30795002 -3.9404001 -1.1615 -0.3314 -4.0737 -1.2862 -0.2845 -3.8071 w
20110406 15.088 20110406 15.106 20110406 15.097 i 1.9100001 -0.18235001 0.62075 1.9378 -0.1883 0.6053 1.8822 -0.1764 0.6362 w
20110406 17.124 20110406 17.306 20110406 17.215 o -1.14755 -0.30245 -4.1197 -1.059 -0.3373 -4.2958 -1.2361 -0.2676 -3.9436 w
20110407 3.12 20110407 3.166 20110407 3.143 i 1.98665 -0.26575 0.57275 2.0585 -0.2839 0.5301 1.9148 -0.2476 0.6154 w
20110407 5.248 20110407 5.487 20110407 5.3675003 o -1.0821 -0.29680002 -4.2651997 -0.9642 -0.3459 -4.4872 -1.2 -0.2477 -4.0432 w
20110407 15.267 20110407 15.305 20110407 15.286 i 1.7507 -0.2658 0.69914997 1.8147 -0.2835 0.6667 1.6867 -0.2481 0.7316 w
20110407 17.177 20110407 17.325 20110407 17.251 o -1.2736 -0.1769 -3.8968 -1.2066 -0.2104 -4.0498 -1.3406 -0.1434 -3.7438 w
20110408 3.347 20110408 3.354 20110408 3.3505 i 1.77075 -0.33034998 0.6857 1.7831 -0.3342 0.6792 1.7584 -0.3265 0.6922 w
20110408 5.341 20110408 5.433 20110408 5.387 o -1.2255 -0.16605 -4.02485 -1.183 -0.1883 -4.1175 -1.268 -0.1438 -3.9322 w
20110408 15.422 20110408 15.449 20110408 15.4355 i 1.71805 -0.37135 0.70780003 1.7627 -0.3868 0.6849 1.6734 -0.3559 0.7307 w
20110408 17.456 20110408 17.473 20110408 17.4645 o -1.2296 -0.1292 -4.0328503 -1.2218 -0.1336 -4.05 -1.2374 -0.1248 -4.0157 w
20110409 3.478 20110409 3.496 20110409 3.487 i 1.77595 -0.4512 0.67145 1.8038 -0.4619 0.6562 1.7481 -0.4405 0.6867 w
20110409 5.597 20110409 6.054 20110409 5.8255 o -0.9626 -0.2424 -4.5359497 -0.7428 -0.3623 -4.9234 -1.1824 -0.1225 -4.1485 w
20110409 15.613 20110409 15.642 20110409 15.627501 i 1.5371001 -0.4124 0.78534997 1.5863 -0.4325 0.7628 1.4879 -0.3923 0.8079 w
20110409 17.552 20110409 17.555 20110409 17.553501 o -1.28935 -0.02015 -3.91535 -1.2884 -0.0208 -3.9176 -1.2903 -0.0195 -3.9131 w
20110410 3.65 20110410 3.655 20110410 3.6525002 i 1.68185 -0.5294 0.70774996 1.6907 -0.5334 0.703 1.673 -0.5254 0.7125 w
20110410 5.66 20110410 5.756 20110410 5.708 o -1.2234 -0.0283 -4.07585 -1.1823 -0.0565 -4.1701 -1.2645 -1e-04 -3.9816 w
20110410 15.711 20110410 15.718 20110410 15.7145 i 1.6984 -0.5956 0.6902 1.7091 -0.6009 0.6842 1.6877 -0.5903 0.6962 w
20110410 17.882 20110410 17.967 20110410 17.9245 o -1.1027501 -0.07925 -4.3461 -1.0652 -0.1053 -4.4231 -1.1403 -0.0532 -4.2691 w
20110411 3.773 20110411 3.774 20110411 3.7735 i 1.7218001 -0.66754997 0.66674995 1.7222 -0.6678 0.6665 1.7214 -0.6673 0.667 w
20110411 5.856 20110411 6.076 20110411 5.966 o -1.13275 -0.02595 -4.2823 -1.0388 -0.0963 -4.4854 -1.2267 0.0444 -4.0792 w
20110411 15.786 20110411 15.854 20110411 15.82 i 1.7751 -0.7599 0.6198 1.8715 -0.8153 0.5588 1.6787 -0.7045 0.6808 w
20110411 17.95 20110411 18.139 20110411 18.0445 o -1.1315501 0.004250001 -4.29295 -1.0526 -0.0585 -4.4668 -1.2105 0.067 -4.1191 w
20110412 3.874 20110412 3.9 20110412 3.887 i 1.76925 -0.821 0.61125 1.8055 -0.8433 0.5876 1.733 -0.7987 0.6349 w
20110412 6.296 20110412 6.31 20110412 6.303 o -0.97854996 -0.0903 -4.6212997 -0.9727 -0.095 -4.6326 -0.9844 -0.0856 -4.61 w
20110412 15.932 20110412 15.986 20110412 15.959 i 1.7465501 -0.8723 0.6095 1.8206 -0.9209 0.5602 1.6725 -0.8237 0.6588 w
20110412 18.303 20110412 18.378 20110412 18.3405 o -1.0125 -0.0365 -4.56115 -0.9814 -0.0631 -4.6243 -1.0436 -0.0099 -4.498 w
20110413 4.186 20110413 4.238 20110413 4.212 i 1.175 -0.55175 0.8974 1.2623 -0.6091 0.8642 1.0877 -0.4944 0.9306 w
20110413 6.258 20110413 6.312 20110413 6.285 o -1.11825 0.0876 -4.33495 -1.0969 0.0675 -4.3847 -1.1396 0.1077 -4.2852 w
20110413 16.144 20110413 16.161 20110413 16.1525 i 1.5643499 -0.87325 0.69665 1.5888 -0.8911 0.6816 1.5399 -0.8554 0.7117 w
20110413 18.162 20110413 18.205 20110413 18.1835 o -1.2451 0.25065 -4.00155 -1.2299 0.2345 -4.0451 -1.2603 0.2668 -3.958 w
20110414 4.223 20110414 4.23 20110414 4.2265 i 1.53625 -0.91375 0.69915 1.5454 -0.9208 0.6934 1.5271 -0.9067 0.7049 w
20110414 6.092 20110414 6.099 20110414 6.0955 o -1.344 0.4077 -3.66235 -1.342 0.4052 -3.6697 -1.346 0.4102 -3.655 w
20110414 16.167 20110414 16.264 20110414 16.2155 i 1.7178 -1.1279 0.54795 1.8335 -1.2249 0.4579 1.6021 -1.0309 0.638 w
20110414 18.504 20110414 18.505 20110414 18.5045 o -1.1125 0.18185 -4.3361 -1.1121 0.1814 -4.3371 -1.1129 0.1823 -4.3351 w
20110415 4.253 20110415 4.298 20110415 4.2755 i 1.7184 -1.2021999 0.5258 1.7704 -1.2485 0.4832 1.6664 -1.1559 0.5684 w
20110415 6.507 20110415 6.537 20110415 6.5220003 o -1.1472 0.2583 -4.2327 -1.137 0.246 -4.2611 -1.1574 0.2706 -4.2043 w
20110415 16.331 20110415 16.381 20110415 16.355999 i 1.6672499 -1.2314501 0.54055 1.7242 -1.2848 0.4935 1.6103 -1.1781 0.5876 w
20110415 18.567 20110415 18.569 20110415 18.568 o -1.15905 0.3123 -4.1817503 -1.1585 0.3116 -4.1833 -1.1596 0.313 -4.1802 w
20110416 4.556 20110416 4.569 20110416 4.5625 i 1.3086 -0.96029997 0.77685 1.3256 -0.9765 0.7666 1.2916 -0.9441 0.7871 w
20110416 6.497 20110416 6.504 20110416 6.5005 o -1.2358 0.4614 -3.90345 -1.2338 0.4585 -3.9106 -1.2378 0.4643 -3.8963 w
20110416 16.592 20110416 16.604 20110416 16.598 i 1.3762 -1.08915 0.71564996 1.3912 -1.1044 0.7053 1.3612 -1.0739 0.726 w
20110416 18.586 20110416 18.602 20110416 18.594 o -1.21305 0.47735 -3.9458 -1.2084 0.4703 -3.9628 -1.2177 0.4844 -3.9288 w
20110417 4.617 20110417 4.62 20110417 4.6184998 i 1.4657 -1.25315 0.62549996 1.4694 -1.2572 0.6225 1.462 -1.2491 0.6285 w
20110417 6.794 20110417 6.997 20110417 6.8955 o -1.06885 0.3093 -4.3785 -1.0076 0.2197 -4.5597 -1.1301 0.3989 -4.1973 w
20110417 16.627 20110417 16.632 20110417 16.629501 i 1.5596 -1.4384 0.51135 1.5648 -1.4445 0.5063 1.5544 -1.4323 0.5164 w
20110417 18.906 20110417 19.107 20110417 19.0065 o -1.0396 0.30385 -4.44575 -0.9802 0.2129 -4.6221 -1.099 0.3948 -4.2694 w
20110418 4.714 20110418 4.724 20110418 4.719 i 1.48755 -1.4368501 0.5442 1.4982 -1.4499 0.5341 1.4769 -1.4238 0.5543 w
20110418 6.88 20110418 7.074 20110418 6.977 o -1.08905 0.42479998 -4.26185 -1.0367 0.3367 -4.4417 -1.1414 0.5129 -4.082 w
20110418 16.762 20110418 16.769 20110418 16.7655 i 1.4979 -1.5371 0.49554998 1.5045 -1.5457 0.4887 1.4913 -1.5285 0.5024 w
20110418 19.406 20110418 20.071 20110418 19.738499 o -0.67195 -0.19435 -5.2864 -0.4625 -0.5086 -5.7068 -0.8814 0.1199 -4.866 w
20110419 4.753 20110419 4.756 20110419 4.7545 i 1.5973 -1.769 0.33305 1.5995 -1.7721 0.3303 1.5951 -1.7659 0.3358 w
