Date x y z r
20080403 -0.12404396 -0.37903413 -0.00017585521 0.39881548
20080404 -0.09715855 -0.38110298 0.001375023 0.39329526
20080405 -0.069801584 -0.38131836 0.0029191617 0.38766542
20080406 -0.04209117 -0.3795974 0.00444842 0.38194978
20080407 -0.014158391 -0.3758611 0.0059539997 0.3761748
20080408 0.013851873 -0.37003613 0.0074264267 0.37036976
20080409 0.0417802 -0.36205682 0.008855545 0.36456707
20080410 0.06945211 -0.35186762 0.010230533 0.35880226
20080411 0.096677855 -0.33942568 0.011539938 0.3531141
20080412 0.12325269 -0.3247043 0.012771752 0.34754455
20080413 0.14895768 -0.30769604 0.013913516 0.34213862
20080414 0.17356129 -0.2884167 0.014952476 0.33694407
20080415 0.1968218 -0.266909 0.01587579 0.33201095
20080416 0.21849078 -0.24324614 0.016670788 0.3273909
20080417 0.23831767 -0.21753518 0.017325282 0.32313624
20080418 0.2560554 -0.18991968 0.017827943 0.31929874
20080419 0.27146712 -0.16058104 0.01816869 0.31592843
20080420 0.2843336 -0.12973857 0.018339122 0.31307188
20080421 0.29446098 -0.09764775 0.018332914 0.31077075
20080422 0.3016887 -0.06459649 0.018146195 0.30905998
20080423 0.30589634 -0.030899359 0.017777834 0.30796653
20080424 0.3070092 0.0031099427 0.017229622 0.30750802
20080425 0.30500224 0.037087563 0.016506324 0.3076919
20080426 0.29990134 0.07068925 0.015615581 0.3085152
20080427 0.29178232 0.1035802 0.014567677 0.3099645
20080428 0.28076765 0.13544421 0.013375184 0.31201684
20080429 0.26702085 0.16599157 0.012052513 0.31464043
20080430 0.25073966 0.1949652 0.010615418 0.31779632
20080501 0.23214841 0.2221446 0.009080484 0.32143983
20080502 0.21148972 0.24734813 0.00746464 0.3255222
20080503 0.18901713 0.27043295 0.0057847225 0.3299923
20080504 0.1649879 0.29129386 0.004057108 0.3347978
20080505 0.13965715 0.30986056 0.0022974226 0.3398867
20080506 0.113273054 0.32609448 0.0005203312 0.34520814
20080507 0.086073086 0.33998483 -0.0012606017 0.35071334
20080508 0.058281444 0.35154477 -0.0030329884 0.35635605
20080509 0.030107392 0.3608074 -0.0047856425 0.362093
20080510 0.0017443381 0.3678223 -0.006508564 0.367884
20080511 -0.02663041 0.372652 -0.008192894 0.37369215
20080512 -0.054855436 0.37536934 -0.009830853 0.37948373
20080513 -0.08278466 0.37605464 -0.011415658 0.38522813
20080514 -0.11028653 0.3747938 -0.012941445 0.3908977
20080515 -0.13724308 0.37167645 -0.014403183 0.3964675
20080516 -0.16354895 0.3667944 -0.015796589 0.4019153
20080517 -0.18911031 0.36024067 -0.01711805 0.40722114
20080518 -0.21384381 0.35210836 -0.018364545 0.41236722
20080519 -0.23767564 0.34249014 -0.019533584 0.41733772
20080520 -0.26054057 0.33147758 -0.02062314 0.42211857
20080521 -0.28238112 0.31916085 -0.021631595 0.42669737
20080522 -0.30314666 0.30562833 -0.022557683 0.43106312
20080523 -0.32279277 0.29096657 -0.023400463 0.43520603
20080524 -0.34128055 0.27526018 -0.024159262 0.43911758
20080525 -0.35857603 0.25859168 -0.02483365 0.44279018
20080526 -0.3746497 0.24104163 -0.025423411 0.44621724
20080527 -0.3894759 0.22268865 -0.025928514 0.4493929
20080528 -0.40303254 0.20360947 -0.026349092 0.45231217
20080529 -0.41530064 0.18387909 -0.026685424 0.4549706
20080530 -0.42626414 0.16357084 -0.026937924 0.45736438
20080531 -0.43590945 0.14275658 -0.02710712 0.45949027
20080601 -0.4442254 0.1215068 -0.027193641 0.4613454
20080602 -0.45120284 0.09989077 -0.027198223 0.46292755
20080603 -0.45683464 0.077976726 -0.02712169 0.46423468
20080604 -0.46111548 0.055832 -0.026964948 0.4652653
20080605 -0.46404174 0.03352319 -0.026728991 0.4660182
20080606 -0.4656114 0.011116334 -0.026414894 0.46649253
20080607 -0.465824 -0.011322946 -0.026023809 0.46668777
20080608 -0.46468067 -0.03372927 -0.025556969 0.46660364
20080609 -0.46218398 -0.056037348 -0.025015697 0.4662403
20080610 -0.45833808 -0.0781818 -0.024401398 0.4655981
20080611 -0.4531486 -0.10009702 -0.02371557 0.46467784
20080612 -0.4466229 -0.121717006 -0.022959812 0.46348053
20080613 -0.43877 -0.14297518 -0.022135824 0.46200758
20080614 -0.42960072 -0.1638043 -0.02124543 0.46026078
20080615 -0.41912785 -0.1841362 -0.020290568 0.4582423
20080616 -0.40736634 -0.20390178 -0.019273324 0.45595473
20080617 -0.3943334 -0.22303075 -0.018195929 0.45340118
20080618 -0.3800488 -0.24145156 -0.017060785 0.45058522
20080619 -0.3645352 -0.25909126 -0.01587047 0.447511
20080620 -0.34781834 -0.2758754 -0.014627778 0.4441833
20080621 -0.32992738 -0.2917279 -0.013335715 0.44060767
20080622 -0.3108955 -0.30657113 -0.011997542 0.43679035
20080623 -0.2907601 -0.3203256 -0.010616793 0.43273854
20080624 -0.26956344 -0.33291033 -0.009197305 0.4284604
20080625 -0.2473532 -0.3442425 -0.0077432473 0.42396516
20080626 -0.22418308 -0.3542379 -0.006259157 0.41926333
20080627 -0.2001135 -0.362811 -0.0047499724 0.41436672
20080628 -0.17521234 -0.36987507 -0.0032210718 0.4092888
20080629 -0.14955577 -0.37534285 -0.0016783132 0.40404457
20080630 -0.123229146 -0.3791269 -0.00012807197 0.39865103
20080701 -0.0963279 -0.38114035 0.0014227179 0.3931273
20080702 -0.06895852 -0.3812978 0.0029665264 0.38749462
20080703 -0.04123953 -0.37951642 0.0044951937 0.38177693
20080704 -0.013302398 -0.3757174 0.005999901 0.37600067
20080705 0.0147075625 -0.3698276 0.0074711526 0.37019533
20080706 0.04263048 -0.36178166 0.008898774 0.36439335
20080707 0.070291415 -0.3515243 0.010271922 0.35863033
20080708 0.09750016 -0.3390132 0.011579128 0.35294518
20080709 0.12405153 -0.32422212 0.012808368 0.34737992
20080710 0.1497262 -0.30714437 0.013947171 0.3419797
20080711 0.17429225 -0.28779647 0.0149827795 0.33679235
20080712 0.19750775 -0.26622197 0.01590235 0.33186793
20080713 0.21912412 -0.24249506 0.016693223 0.32725814
20080714 0.23889083 -0.21672395 0.017343234 0.3230153
20080715 0.256561 -0.18905325 0.017841084 0.31919116
20080716 0.27189827 -0.15966554 0.018176738 0.31583562
20080717 0.28468394 -0.12878127 0.01834185 0.3129952
20080718 0.2947252 -0.09665696 0.01833017 0.3107113
20080719 0.30186254 -0.063581415 0.0181379 0.30901873
20080720 0.30597684 -0.029869888 0.017764 0.30794412
20080721 0.30699486 0.004143469 0.01721035 0.30750483
20080722 0.30489314 0.038114656 0.016481802 0.30770797
20080723 0.29969904 0.07169956 0.015586085 0.30855027
20080724 0.2914899 0.10456382 0.014533556 0.31001803
20080725 0.2803895 0.13639192 0.01333685 0.31208795
20080726 0.26656246 0.16689506 0.012010428 0.31472808
20080727 0.25020754 0.1958172 0.010570074 0.31789923
20080728 0.23154964 0.22293906 0.009032394 0.3215566
20080729 0.21083188 0.24808009 0.007414318 0.32565132
20080730 0.188308 0.27109867 0.005732675 0.3301322
20080731 0.16423526 0.2918907 0.0040038223 0.3349469
20080801 0.13886867 0.3103869 0.00224336 0.34004346
